#E_pot  E_kin  T  P
-1.867677e-04 7.281898e+02 2.919370e+02 8.061251e+02
-1.920742e-04 7.176899e+02 2.877275e+02 7.945014e+02
-2.077733e-04 7.409907e+02 2.970690e+02 8.202960e+02
-2.299390e-04 7.154028e+02 2.868106e+02 7.919695e+02
-2.576755e-04 7.125643e+02 2.856726e+02 7.888273e+02
-2.687255e-04 6.783561e+02 2.719583e+02 7.509578e+02
-2.619802e-04 6.903063e+02 2.767492e+02 7.641871e+02
-2.601751e-04 7.148928e+02 2.866061e+02 7.914050e+02
-2.602484e-04 7.205129e+02 2.888593e+02 7.976265e+02
-2.642436e-04 7.241903e+02 2.903336e+02 8.016975e+02
-2.713245e-04 7.369943e+02 2.954668e+02 8.158719e+02
-2.844310e-04 7.310266e+02 2.930743e+02 8.092655e+02
-3.109856e-04 7.362437e+02 2.951659e+02 8.150409e+02
-3.380949e-04 7.594067e+02 3.044521e+02 8.406829e+02
-3.564728e-04 7.976579e+02 3.197873e+02 8.830281e+02
-3.574876e-04 7.545366e+02 3.024996e+02 8.352916e+02
-3.511078e-04 7.167109e+02 2.873350e+02 7.934176e+02
-3.646367e-04 7.282268e+02 2.919518e+02 8.061661e+02
-3.941815e-04 7.516272e+02 3.013332e+02 8.320708e+02
-4.253535e-04 7.621731e+02 3.055612e+02 8.437454e+02
-4.404004e-04 7.467439e+02 2.993755e+02 8.266650e+02
-4.518855e-04 7.469862e+02 2.994726e+02 8.269332e+02
-4.789861e-04 7.308951e+02 2.930216e+02 8.091199e+02
-5.078595e-04 7.320446e+02 2.934824e+02 8.103925e+02
-5.215985e-04 7.667633e+02 3.074014e+02 8.488270e+02
-5.244198e-04 7.823311e+02 3.136427e+02 8.660609e+02
-4.991576e-04 7.578157e+02 3.038143e+02 8.389217e+02
-4.513849e-04 7.367555e+02 2.953711e+02 8.156076e+02
-4.114480e-04 7.527758e+02 3.017937e+02 8.333425e+02
-3.673511e-04 7.234412e+02 2.900333e+02 8.008683e+02
-3.249186e-04 7.293286e+02 2.923936e+02 8.073858e+02
-2.945338e-04 7.244694e+02 2.904455e+02 8.020065e+02
-2.687940e-04 7.098983e+02 2.846038e+02 7.858759e+02
-2.357817e-04 7.115396e+02 2.852618e+02 7.876929e+02
-2.029256e-04 7.191911e+02 2.883294e+02 7.961633e+02
-1.767728e-04 7.795608e+02 3.125321e+02 8.629942e+02
-1.575670e-04 7.909031e+02 3.170793e+02 8.755503e+02
-1.440834e-04 7.510159e+02 3.010882e+02 8.313941e+02
-1.333501e-04 8.097695e+02 3.246429e+02 8.964359e+02
-1.232975e-04 7.408928e+02 2.970298e+02 8.201877e+02
-1.151660e-04 7.548465e+02 3.026239e+02 8.356347e+02
-1.104023e-04 7.867967e+02 3.154330e+02 8.710044e+02
-1.066148e-04 7.433234e+02 2.980042e+02 8.228784e+02
-1.029716e-04 7.468496e+02 2.994179e+02 8.267820e+02
-9.981664e-05 7.433485e+02 2.980142e+02 8.229061e+02
-1.010446e-04 7.700961e+02 3.087376e+02 8.525165e+02
-1.064949e-04 7.612906e+02 3.052074e+02 8.427686e+02
-1.105465e-04 7.763465e+02 3.112434e+02 8.594357e+02
-1.106139e-04 8.175544e+02 3.277640e+02 9.050540e+02
-1.050215e-04 7.920918e+02 3.175558e+02 8.768662e+02
-9.799773e-05 7.437970e+02 2.981941e+02 8.234026e+02
-9.476484e-05 7.832667e+02 3.140178e+02 8.670966e+02
-9.322121e-05 7.700873e+02 3.087340e+02 8.525067e+02
-9.021754e-05 7.476605e+02 2.997430e+02 8.276796e+02
-8.717721e-05 7.523436e+02 3.016205e+02 8.328640e+02
-8.540705e-05 7.569079e+02 3.034503e+02 8.379168e+02
-8.530134e-05 7.948294e+02 3.186534e+02 8.798969e+02
-8.644682e-05 7.594065e+02 3.044520e+02 8.406827e+02
-9.017473e-05 7.689785e+02 3.082895e+02 8.512793e+02
-9.604235e-05 7.825470e+02 3.137292e+02 8.662999e+02
-1.004092e-04 7.647792e+02 3.066060e+02 8.466305e+02
-1.011578e-04 7.758875e+02 3.110594e+02 8.589276e+02
-9.889559e-05 7.792703e+02 3.124156e+02 8.626725e+02
-9.553406e-05 7.880310e+02 3.159278e+02 8.723708e+02
-9.163793e-05 7.758930e+02 3.110616e+02 8.589337e+02
-8.947740e-05 7.409332e+02 2.970459e+02 8.202323e+02
-8.744683e-05 7.257838e+02 2.909724e+02 8.034615e+02
-8.236035e-05 6.975152e+02 2.796393e+02 7.721675e+02
-7.700297e-05 6.651442e+02 2.666615e+02 7.363320e+02
-7.396077e-05 7.028715e+02 2.817867e+02 7.780970e+02
-7.031817e-05 7.245320e+02 2.904706e+02 8.020758e+02
-6.524151e-05 7.383683e+02 2.960176e+02 8.173929e+02
-6.048887e-05 7.316091e+02 2.933078e+02 8.099104e+02
-5.600303e-05 7.234441e+02 2.900344e+02 8.008715e+02
-5.131084e-05 7.741647e+02 3.103687e+02 8.570205e+02
-4.777143e-05 7.629754e+02 3.058828e+02 8.446337e+02
-4.632452e-05 7.878528e+02 3.158564e+02 8.721735e+02
-4.579009e-05 8.049949e+02 3.227288e+02 8.911503e+02
-4.495056e-05 7.888656e+02 3.162624e+02 8.732948e+02
-4.415649e-05 7.734216e+02 3.100708e+02 8.561979e+02
-4.365062e-05 7.891660e+02 3.163828e+02 8.736273e+02
-4.330882e-05 8.060152e+02 3.231378e+02 8.922798e+02
-4.340855e-05 8.350468e+02 3.347768e+02 9.244186e+02
-4.368071e-05 8.054776e+02 3.229223e+02 8.916847e+02
-4.381363e-05 7.649519e+02 3.066752e+02 8.468217e+02
-4.396051e-05 7.911844e+02 3.171920e+02 8.758617e+02
-4.357160e-05 7.645311e+02 3.065065e+02 8.463558e+02
-4.279980e-05 7.513563e+02 3.012246e+02 8.317709e+02
-4.274177e-05 7.395544e+02 2.964932e+02 8.187060e+02
-4.351530e-05 7.733905e+02 3.100583e+02 8.561634e+02
-4.417292e-05 7.395270e+02 2.964822e+02 8.186756e+02
-4.421330e-05 7.167409e+02 2.873471e+02 7.934509e+02
-4.479823e-05 7.162844e+02 2.871640e+02 7.929455e+02
-4.558483e-05 6.974360e+02 2.796076e+02 7.720798e+02
-4.621952e-05 6.836389e+02 2.740762e+02 7.568061e+02
-4.699381e-05 7.020900e+02 2.814734e+02 7.772320e+02
-4.764488e-05 7.361897e+02 2.951442e+02 8.149811e+02
-4.777538e-05 7.229955e+02 2.898546e+02 8.003749e+02
-4.689247e-05 7.392561e+02 2.963736e+02 8.183757e+02
-4.563295e-05 7.871552e+02 3.155767e+02 8.714013e+02
-4.479245e-05 7.316578e+02 2.933273e+02 8.099642e+02
-4.458992e-05 7.758908e+02 3.110607e+02 8.589314e+02
-4.449980e-05 8.119516e+02 3.255178e+02 8.988515e+02
-4.368827e-05 7.875887e+02 3.157505e+02 8.718812e+02
-4.246110e-05 7.511066e+02 3.011245e+02 8.314945e+02
-4.103325e-05 7.888767e+02 3.162668e+02 8.733070e+02
-3.902051e-05 7.703165e+02 3.088259e+02 8.527604e+02
-3.676376e-05 7.592722e+02 3.043982e+02 8.405341e+02
-3.459823e-05 7.790871e+02 3.123421e+02 8.624697e+02
-3.330294e-05 7.766190e+02 3.113526e+02 8.597374e+02
-3.240190e-05 8.392936e+02 3.364794e+02 9.291199e+02
-3.110016e-05 7.945462e+02 3.185398e+02 8.795833e+02
-2.951263e-05 7.580168e+02 3.038949e+02 8.391443e+02
-2.826092e-05 7.259588e+02 2.910426e+02 8.036553e+02
-2.744383e-05 7.464792e+02 2.992694e+02 8.263719e+02
-2.704782e-05 7.347549e+02 2.945690e+02 8.133928e+02
-2.676790e-05 6.981410e+02 2.798902e+02 7.728603e+02
-2.657543e-05 6.977493e+02 2.797332e+02 7.724266e+02
-2.697310e-05 6.919688e+02 2.774157e+02 7.660275e+02
