#E_pot  E_kin  T  P
-2.180947e+02 9.983629e+01 4.002515e+01 8.841710e+05
-2.181023e+02 1.003900e+02 4.024712e+01 8.890744e+05
-2.181098e+02 1.007988e+02 4.041102e+01 8.926949e+05
-2.181177e+02 1.004458e+02 4.026951e+01 8.895689e+05
-2.181251e+02 1.006730e+02 4.036061e+01 8.915814e+05
-2.181312e+02 1.009545e+02 4.047346e+01 8.940744e+05
-2.181372e+02 1.004371e+02 4.026602e+01 8.894917e+05
-2.181447e+02 1.008231e+02 4.042077e+01 8.929102e+05
-2.181533e+02 1.008539e+02 4.043312e+01 8.931831e+05
-2.181622e+02 1.011445e+02 4.054963e+01 8.957569e+05
-2.181718e+02 1.013478e+02 4.063112e+01 8.975570e+05
-2.181830e+02 1.011945e+02 4.056968e+01 8.961998e+05
-2.181947e+02 1.014029e+02 4.065323e+01 8.980455e+05
-2.182065e+02 1.014350e+02 4.066610e+01 8.983298e+05
-2.182189e+02 1.013016e+02 4.061259e+01 8.971477e+05
-2.182325e+02 1.013155e+02 4.061818e+01 8.972711e+05
-2.182473e+02 1.010009e+02 4.049203e+01 8.944846e+05
-2.182629e+02 1.010778e+02 4.052289e+01 8.951662e+05
-2.182790e+02 1.009017e+02 4.045229e+01 8.936066e+05
-2.182960e+02 1.004302e+02 4.026326e+01 8.894309e+05
-2.183133e+02 1.004472e+02 4.027008e+01 8.895816e+05
-2.183297e+02 1.006258e+02 4.034166e+01 8.911627e+05
-2.183448e+02 1.004281e+02 4.026241e+01 8.894121e+05
-2.183594e+02 1.006453e+02 4.034950e+01 8.913359e+05
-2.183732e+02 1.001461e+02 4.014935e+01 8.869146e+05
-2.183855e+02 1.004697e+02 4.027911e+01 8.897810e+05
-2.183970e+02 1.008275e+02 4.042253e+01 8.929493e+05
-2.184073e+02 1.013836e+02 4.064546e+01 8.978739e+05
-2.184168e+02 1.009955e+02 4.048987e+01 8.944369e+05
-2.184262e+02 1.007345e+02 4.038526e+01 8.921259e+05
-2.184366e+02 1.006254e+02 4.034151e+01 8.911595e+05
-2.184467e+02 1.010123e+02 4.049663e+01 8.945861e+05
-2.184569e+02 1.012267e+02 4.058259e+01 8.964850e+05
-2.184675e+02 1.012640e+02 4.059752e+01 8.968149e+05
-2.184779e+02 1.017852e+02 4.080649e+01 9.014311e+05
-2.184884e+02 1.015694e+02 4.071996e+01 8.995196e+05
-2.184987e+02 1.017097e+02 4.077621e+01 9.007621e+05
-2.185085e+02 1.012219e+02 4.058064e+01 8.964420e+05
-2.185185e+02 1.010594e+02 4.051549e+01 8.950027e+05
-2.185281e+02 1.010565e+02 4.051435e+01 8.949776e+05
-2.185374e+02 1.007688e+02 4.039900e+01 8.924294e+05
-2.185474e+02 1.003925e+02 4.024816e+01 8.890973e+05
-2.185582e+02 1.005688e+02 4.031883e+01 8.906585e+05
-2.185687e+02 1.005607e+02 4.031558e+01 8.905866e+05
-2.185791e+02 1.005648e+02 4.031720e+01 8.906224e+05
-2.185904e+02 1.008281e+02 4.042277e+01 8.929546e+05
-2.186023e+02 1.008599e+02 4.043552e+01 8.932361e+05
-2.186148e+02 1.008572e+02 4.043445e+01 8.932126e+05
-2.186272e+02 1.007798e+02 4.040341e+01 8.925269e+05
-2.186394e+02 1.007360e+02 4.038586e+01 8.921390e+05
-2.186511e+02 1.008769e+02 4.044233e+01 8.933865e+05
-2.186620e+02 1.011068e+02 4.053451e+01 8.954230e+05
-2.186721e+02 1.012045e+02 4.057367e+01 8.962879e+05
